"Team","Year","Value Column Name","Value"
"Norway","2004","Total No. of Female Participants","13"
"Norway","2004","Female Participants%","0.29545454545454547"
"Norway","2006","Total No. of Medals Won for Women","4"
"Norway","2006","No. of Gold Medals won By Female","0"
"Norway","2006","Medals Won By Women %","0.17391304347826086"
"Norway","2006","Total No. of Female Participants","21"
"Norway","2006","Female Participants%","0.31343283582089554"
"Norway","2008","Total No. of Medals Won for Women","17"
"Norway","2008","No. of Gold Medals won By Female","14"
"Norway","2008","Medals Won By Women %","0.7727272727272727"
"Norway","2008","Total No. of Female Participants","50"
"Norway","2008","Female Participants%","0.625"
"Norway","2010","Total No. of Medals Won for Women","10"
"Norway","2010","No. of Gold Medals won By Female","7"
"Norway","2010","Medals Won By Women %","0.2564102564102564"
"Norway","2010","Total No. of Female Participants","25"
"Norway","2010","Female Participants%","0.2631578947368421"
"Norway","2012","Total No. of Medals Won for Women","14"
"Norway","2012","No. of Gold Medals won By Female","14"
"Norway","2012","Medals Won By Women %","0.8235294117647058"
"Norway","2012","Total No. of Female Participants","28"
"Norway","2012","Female Participants%","0.45901639344262296"
"Norway","2014","Total No. of Medals Won for Women","18"
"Norway","2014","No. of Gold Medals won By Female","7"
"Norway","2014","Medals Won By Women %","0.5"
"Norway","2014","Total No. of Female Participants","32"
"Norway","2014","Female Participants%","0.2909090909090909"
"Norway","2016","Total No. of Medals Won for Women","14"
"Norway","2016","No. of Gold Medals won By Female","0"
"Norway","2016","Medals Won By Women %","0.7368421052631579"
"Norway","2016","Total No. of Female Participants","33"
"Norway","2016","Female Participants%","0.532258064516129"
"South Korea","1998","Total No. of Medals Won for Women","7"
"South Korea","1998","No. of Gold Medals won By Female","5"
"South Korea","1998","Medals Won By Women %","0.5833333333333334"
"South Korea","1998","Total No. of Female Participants","11"
"South Korea","1998","Female Participants%","0.2972972972972973"
"South Korea","2000","Total No. of Medals Won for Women","12"
"South Korea","2000","No. of Gold Medals won By Female","6"
"South Korea","2000","Medals Won By Women %","0.1791044776119403"
"South Korea","2000","Total No. of Female Participants","102"
"South Korea","2000","Female Participants%","0.3763837638376384"
"South Korea","2002","Total No. of Medals Won for Women","7"
